episode_id,status,steps_taken,target_reached,goal_status,final_distance,initial_distance,distance_improvement,normalized_improvement,distance_improvement_percentage,efficiency_metric,path_length,path_efficiency,avg_velocity,max_velocity,avg_vfe,avg_efe,avg_suitability,min_suitability,avg_model_confidence,collisions,collisions_per_meter,max_obstacle_count,avg_obstacle_count,min_obstacle_distance,replanning_count,dynamic_replanning_count,replanning_percentage,dynamic_replanning_percentage,avg_planning_time_ms,max_planning_time_ms,duration_seconds,avg_step_time,timestamp_completed,stuck_detected,oscillation_detected,airsim_crash
0,success,5,True,success,0.6252953769632018,20.047703630287053,19.42240825332385,0.9688096258556748,96.88096258556747,0.1937619251711349,22.354822453900752,0.896795475411565,0.5168772959368017,1.0159436394404524,306.7479990967538,-316.2853863945096,0.0,0.0,0.0,0,0.0,6,2.6,9.743615284822964,0,0,0.0,0.0,6.740331649780273,9.233713150024414,24.436243772506717,4.887248754501343,1748280075.7530444,False,False,False
1,success,5,True,success,1.214685469517341,21.031201159138213,19.81651568962087,0.9422436474110014,94.22436474110016,0.1884487294822003,20.5335637158552,1.024235317851755,0.6970814147771622,1.0372157326858484,276.03763624058786,-284.6323982520928,0.0,0.0,0.0,0,0.0,0,0.0,inf,0,0,0.0,0.0,4.6833038330078125,5.745410919189453,18.665175914764404,3.733035182952881,1748280099.8458962,False,False,False
2,stuck,19,False,partial,9.00215883257106,41.11173013251084,32.10957129993977,0.7810318660013721,78.1031866001372,0.0411069403158616,78.87817290278407,0.5212054060022447,0.5014480001709078,1.2742525871031605,262.0137478324484,-270.7288967208565,0.0,0.0,0.0,4,0.0507111137694572,5,0.3157894736842105,12.219776632433357,6,6,31.57894736842105,31.57894736842105,5.403129678023489,9.63282585144043,51.90770840644837,2.7319846529709664,1748280246.103328,True,False,False
3,success,3,True,success,1.0229073197552303,14.058522930145552,13.035615610390323,0.9272393462074298,92.72393462074298,0.3090797820691432,12.26302466820364,1.146415612014334,0.6118645654351362,1.2044541160634286,277.839723711432,-286.3792148075683,0.0,0.0,0.0,0,0.0,6,2.0,7.694586941167585,0,0,0.0,0.0,4.435618718465169,5.280017852783203,11.656322002410889,3.885440667470296,1748280263.182193,False,False,False
4,success,10,True,success,1.132789973232167,36.41259520930927,35.27980523607711,0.9688901610357464,96.88901610357463,0.0968890161035746,36.31121824932399,1.0027918909051523,0.5530232767838357,1.0466573613850525,226.66579175872064,-234.29352761330145,0.0,0.0,0.0,1,0.0275396984241534,4,0.6,16.09609605526958,2,2,20.0,20.0,5.378341674804688,8.526086807250977,30.349961757659912,3.034996175765991,1748280315.1832285,False,False,False
5,success,11,True,success,1.2129608638649088,31.114591388963657,29.90163052509875,0.961016333182664,96.1016333182664,0.087365121198424,36.03668209297148,0.8634144316807729,0.7986267991692301,1.2535789203768504,253.15656044830277,-261.2888944036399,0.0,0.0,0.0,2,0.0554990050094005,8,1.7272727272727273,11.824180282193131,4,4,36.36363636363637,36.36363636363637,4.931384866887873,6.03485107421875,19.161434650421143,1.7419486045837402,1748280384.5893435,False,False,False
6,success,12,True,success,0.3975611817293239,34.84911581423314,34.451554632503814,0.9885919291654754,98.85919291654754,0.0823826607637896,49.5617782967709,0.7031449841359639,0.6714585646647894,1.2524654418923578,273.94299775896104,-282.8753348821684,0.0,0.0,0.0,2,0.0403536771425795,1,0.0833333333333333,19.094360850776717,2,2,16.666666666666664,16.666666666666664,5.743722120920817,10.01262664794922,54.97625517845154,4.581354598204295,1748280487.12514,False,False,False
7,success,6,True,success,0.5043140955362408,23.853146092039683,23.34883199650344,0.9788575438396976,97.88575438396975,0.1631429239732829,22.75273165004716,1.048364058387259,0.602638568233568,0.8975373992875891,255.79237113502367,-263.85026729417933,0.0,0.0,0.0,0,0.0,0,0.0,inf,0,0,0.0,0.0,5.222916603088379,6.008386611938477,19.73433828353882,3.289056380589803,1748280512.2867663,False,False,False
8,success,6,True,success,0.6857253521481812,24.02169442089826,23.33596906875008,0.9714539141105876,97.14539141105875,0.1619089856850979,25.722467165711,0.9338798749802688,0.7974382816220308,1.2207874543756412,290.834167956709,-300.0071965323524,0.0,0.0,0.0,0,0.0,0,0.0,inf,0,0,0.0,0.0,5.67789872487386,9.003400802612305,26.8507297039032,4.4751216173172,1748280544.5734277,False,False,False
9,success,20,True,success,0.5729006836556376,61.24219365063334,60.6692929669777,0.9906453271918402,99.06453271918402,0.049532266359592,71.84001264955286,0.8524802737630714,0.808624829623594,1.2557622944375508,182.1570231368221,-189.76158788222807,0.0,0.0,0.0,1,0.0139198193752854,2,0.1,9.01866972472491,2,2,10.0,10.0,5.306112766265869,9.010553359985352,48.06657481193543,2.403328740596771,1748280636.439769,False,False,False
10,success,9,True,success,0.5464413469871627,34.08907019411652,33.54262884712936,0.9839701891581228,98.39701891581228,0.1093300210175692,34.10130788279716,0.9996411372630428,0.813373235805447,1.13172417098563,243.34360909294912,-251.38456739890432,0.0,0.0,0.0,0,0.0,0,0.0,inf,0,0,0.0,0.0,4.853672451443142,5.514383316040039,31.86413264274597,3.5404591825273304,1748280673.732182,False,False,False
11,success,16,True,success,1.1985372350218475,56.57754850472548,55.37901126970363,0.9788160274402532,97.88160274402532,0.0611760017150158,56.69070329165697,0.9980039974746944,0.7383824468406592,1.2360528299247198,182.0578728468649,-189.51642636832963,0.0,0.0,0.0,0,0.0,1,0.0625,15.69684223741152,0,0,0.0,0.0,5.192086100578308,10.528564453125,60.514609575271606,3.7821630984544754,1748280739.6713684,False,False,False
12,success,8,True,success,1.446252019881629,34.84550886012714,33.39925684024551,0.9584953106672368,95.84953106672369,0.1198119138334045,31.261691554842457,1.1146392638094322,0.8967215840003928,1.1608826752457269,245.42266052177035,-253.6314959641203,0.0,0.0,0.0,0,0.0,9,2.75,15.754258436576729,0,0,0.0,0.0,5.328327417373657,9.038925170898438,25.7728431224823,3.2216053903102875,1748280770.8805037,False,False,False
13,success,9,True,success,0.6605615490983001,33.71543813930681,33.054876590208515,0.980407742400708,98.0407742400708,0.1089341936000786,34.90395434973408,0.9659489524161516,0.6033907980147407,1.0286374983419948,248.40757412552628,-256.63733794764653,0.0,0.0,0.0,0,0.0,0,0.0,inf,0,0,0.0,0.0,5.005571577284071,6.021976470947266,36.753098487854,4.083677609761556,1748280813.0656345,False,False,False
14,success,14,True,success,0.7780574371241041,49.5370868695411,48.759029432417,0.9842934357611064,98.42934357611064,0.0703066739829361,52.76697808405875,0.938789535959926,0.8027488347840996,1.2519945380767878,204.60477703199743,-212.5364866776536,0.0,0.0,0.0,0,0.0,6,0.5714285714285714,15.504545057938769,0,0,0.0,0.0,5.3022759301321845,8.695602416992188,56.63497829437256,4.045355592455183,1748280875.1380885,False,False,False
15,success,17,True,success,0.8939127479644853,66.04274769086906,65.14883494290459,0.9864646342070944,98.64646342070944,0.0580273314239467,63.258045670241415,1.0440213097183566,0.7565906116199902,1.2487490834832355,176.27079806203977,-184.10726312491676,0.0,0.0,0.0,0,0.0,0,0.0,inf,0,0,0.0,0.0,5.074304692885455,9.009122848510742,64.80936002731323,3.812315295724308,1748280945.3827298,False,False,False
16,success,14,True,success,1.2980392240673229,48.94702926800963,47.64899004394231,0.9734807353279828,97.34807353279828,0.069534338237713,50.23688654677552,0.9743244980445812,0.553645946090587,1.008834709067891,196.82051133925992,-204.37070965568324,0.0,0.0,0.0,0,0.0,1,0.1428571428571428,8.828912500834585,0,0,0.0,0.0,5.594832556588309,9.00864601135254,59.70723080635071,4.264802200453622,1748281010.5193672,False,False,False
17,success,28,True,success,0.9297127121341412,91.84046585645686,90.91075314432273,0.989876872863567,98.9876872863567,0.0353527454594131,101.70088076393031,0.9030449408755702,0.8768769485443819,1.2516194284460402,145.8200538079735,-153.5241862995543,0.0,0.0,0.0,1,0.0098327565355231,9,0.4285714285714285,7.615154604168276,3,3,10.714285714285714,10.714285714285714,6.197418485369001,45.67074775695801,72.6731812953949,2.595470760549818,1748281168.885258,False,False,False
18,success,22,True,success,1.2767085574059662,71.36535863769178,70.08865008028582,0.9821102481403116,98.21102481403116,0.0446413749154687,77.91686312532434,0.9159167319519156,0.7342709950105415,1.2413430251974398,157.80024203808134,-165.26652540199427,0.0,0.0,0.0,2,0.0256683844777365,2,0.2272727272727272,8.6946110367678,3,3,13.636363636363637,13.636363636363637,5.298029292713512,9.038686752319336,42.675559282302856,1.9397981491955845,1748281278.969217,False,False,False
19,success,24,True,success,0.4083141900097458,58.470162557278975,58.06184836726923,0.9930167084859778,99.30167084859778,0.0413756961869157,84.01685048598296,0.6959337587527624,0.4716884384734677,1.2369260200467864,167.29175645612864,-174.69362340669696,0.0,0.0,0.0,3,0.0357071228288961,2,0.125,13.561002790561858,4,4,16.666666666666664,16.666666666666664,6.753216187159221,21.581172943115234,40.125646114349365,1.6719019214312236,1748281427.4246066,False,False,False
20,success,15,True,success,1.4509193924658237,52.25397928205516,50.80305988958934,0.9722333224684366,97.22333224684368,0.0648155548312291,55.36786600908006,0.9437600371573968,0.8158347832223842,1.260995761221606,197.8642832387115,-205.6420511425551,0.0,0.0,0.0,0,0.0,6,0.8666666666666667,8.753270399958502,0,0,0.0,0.0,5.349127451578776,8.510828018188477,58.83627414703369,3.9224182764689126,1748281491.7019827,False,False,False
